id,popularity,revenue,status,vote_average,vote_count,trend_day
523638,31.09,0,Released,6.3,8,2021-09-14
482373,2323.881,37000009,Released,7.6,509,2021-09-14
436969,2684.861,162000000,Released,8.0,3749,2021-09-14
843906,52.286,0,Released,8.0,2,2021-09-14
600583,14.518,0,Released,0.0,0,2021-09-14
523366,53.647,3175644,Released,7.7,86,2021-09-14
593910,1593.792,0,Released,6.9,523,2021-09-14
438631,188.692,0,Released,7.0,12,2021-09-14
675319,82.858,0,Released,6.2,24,2021-09-14
675445,1627.099,81000000,Released,8.0,391,2021-09-14
669659,15.822,0,Released,6.8,4,2021-09-14
597891,426.57,0,Released,6.7,232,2021-09-15
619778,2045.719,15070000,Released,7.4,339,2021-09-15
523638,43.526,0,Released,6.5,15,2021-09-15
739990,40.186,0,Released,6.5,2,2021-09-15
645710,65.038,0,Released,7.0,79,2021-09-15
843906,73.2,0,Released,8.8,43,2021-09-15
497698,1462.636,370037090,Released,7.8,4960,2021-09-15
585216,1720.988,44888959,Released,7.1,271,2021-09-15
853588,165.704,0,Released,4.3,81,2021-09-15
566525,2470.227,257000000,Released,8.0,766,2021-09-15
855823,27.062,0,Released,9.0,1,2021-09-15
669659,22.151,0,Released,6.6,5,2021-09-15
436969,2350.563,162000000,Released,7.9,3773,2021-09-15
385128,1066.52,714392860,Released,7.5,3596,2021-09-15
567748,57.527,0,Released,0.0,0,2021-09-15
438631,264.169,0,Released,8.0,32,2021-09-15
600583,20.325,0,Released,0.0,0,2021-09-15
482373,1744.235,37000009,Released,7.6,526,2021-09-15
837548,6.852,0,Released,6.8,4,2021-09-15
593910,1229.334,0,Released,6.8,546,2021-09-15
739990,56.26,0,Released,7.3,12,2021-09-16
523638,60.936,0,Released,6.2,22,2021-09-16
750253,10.737,0,Released,0.0,0,2021-09-16
619778,2451.161,15070000,Released,7.4,365,2021-09-16
565028,122.231,53000000,Released,6.5,121,2021-09-16
597891,597.198,0,Released,6.7,252,2021-09-16
855823,37.887,0,Released,7.1,19,2021-09-16
843906,102.48,0,Released,8.7,63,2021-09-16
497698,1392.609,370037090,Released,7.8,4980,2021-09-16
645710,91.053,0,Released,6.9,98,2021-09-16
566525,2364.887,257000000,Released,7.9,805,2021-09-16
585216,1805.192,44888959,Released,7.1,285,2021-09-16
438631,265.146,0,Released,8.2,77,2021-09-16
631843,306.489,84524080,Released,6.3,488,2021-09-16
853588,231.986,0,Released,4.3,89,2021-09-16
436969,2145.26,165270343,Released,7.9,3805,2021-09-16
669659,31.011,0,Released,5.8,6,2021-09-16
643532,53.409,0,Released,7.0,62,2021-09-16
567748,76.557,0,Released,0.0,0,2021-09-16
385128,1001.717,714392860,Released,7.5,3610,2021-09-16
739990,78.764,0,Released,7.0,26,2021-09-17
565028,171.123,53000000,Released,6.5,142,2021-09-17
750253,15.032,0,Released,0.0,0,2021-09-17
523638,85.31,0,Released,5.8,28,2021-09-17
619778,2462.799,15070000,Released,7.3,401,2021-09-17
631843,429.085,84524080,Released,6.3,499,2021-09-17
855823,53.042,0,Released,7.0,39,2021-09-17
597891,836.077,0,Released,6.7,282,2021-09-17
749274,98.34,0,Released,7.0,6,2021-09-17
497698,1445.752,370037090,Released,7.8,4999,2021-09-17
843906,143.472,0,Released,8.6,88,2021-09-17
438631,302.908,0,Released,8.3,165,2021-09-17
624899,14.528,0,Released,9.0,4,2021-09-17
566525,2295.658,257000000,Released,7.9,833,2021-09-17
645710,127.474,0,Released,7.0,109,2021-09-17
585216,1834.519,44888959,Released,7.1,297,2021-09-17
385128,1086.206,714392860,Released,7.5,3625,2021-09-17
436969,2198.157,165270343,Released,7.9,3828,2021-09-17
643532,74.773,0,Released,7.0,64,2021-09-17
579047,246.99,18717947,Released,7.2,579,2021-09-17
565028,239.572,53000000,Released,6.7,173,2021-09-18
739990,110.27,0,Released,7.1,42,2021-09-18
749274,137.676,0,Released,7.4,18,2021-09-18
637534,70.867,0,Released,8.1,191,2021-09-18
631843,600.719,84524080,Released,6.5,569,2021-09-18
523638,119.434,0,Released,5.9,35,2021-09-18
680531,41.492,0,Released,7.5,10,2021-09-18
750253,21.045,0,Released,0.0,0,2021-09-18
597891,1170.508,0,Released,6.7,308,2021-09-18
619778,2149.376,15070000,Released,7.3,440,2021-09-18
624899,20.339,0,Released,6.6,13,2021-09-18
855823,74.259,0,Released,7.2,57,2021-09-18
497698,1558.32,370037090,Released,7.8,5021,2021-09-18
438631,387.337,0,Released,8.2,275,2021-09-18
579047,242.826,18717947,Released,7.2,588,2021-09-18
566525,2251.405,257000000,Released,7.9,856,2021-09-18
840427,5.487,0,Released,6.8,2,2021-09-18
843906,200.861,0,Released,8.5,103,2021-09-18
